,participant,gof,name
0,0_epo,0.0001106314874720789,linear
1,10_epo,0.00010113063230940814,linear
2,11_epo,4.3115607460859185e-05,linear
3,12_epo,0.00014697212676391316,linear
4,13_epo,4.6653999970138224e-05,linear
5,14_epo,5.559786133804923e-05,linear
6,15_epo,5.314607090810996e-05,linear
7,16_epo,4.8233084637099165e-05,linear
8,17_epo,4.6360582374599435e-05,linear
9,18_epo,7.015663013037446e-05,linear
10,19_epo,4.268391189172297e-05,linear
11,1_epo,5.2297604814894366e-05,linear
12,20_epo,8.270715563691059e-05,linear
13,21_epo,6.407904472168317e-05,linear
14,22_epo,9.750625170438873e-05,linear
15,23_epo,7.918125658652832e-05,linear
16,24_epo,8.33758281442966e-05,linear
17,25_epo,7.718037307160366e-05,linear
18,2_epo,7.171856466742737e-05,linear
19,3_epo,7.614823781408445e-05,linear
20,4_epo,5.353816939235803e-05,linear
21,5_epo,0.00010111870795253182,linear
22,6_epo,0.0001078037943365948,linear
23,7_epo,0.00011900953858205619,linear
24,8_epo,9.34697885317419e-05,linear
25,9_epo,4.286032601838665e-05,linear
